# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 29K of event 'cycles:ppp'
# Event count (approx.): 21822785868
#
# Overhead  Command          Shared Object                            Symbol                                                                                                                                                                                                                                        
# ........  ...............  .......................................  ..............................................................................................................................................................................................................................................
#
     0.00%  Chrome_IOThread  libQt5WebEngineCore.so.5.9.5             [.] 0x0000000000d137f0
     0.00%  90captive_porta  [kernel.kallsyms]                        [k] strcmp
     0.00%  gnome-shell      libgobject-2.0.so.0.5600.3               [.] 0x0000000000020641
     0.00%  gnome-shell      libmutter-clutter-2.so                   [.] clutter_actor_get_next_sibling
     0.00%  swapper          [kernel.kallsyms]                        [k] _raw_spin_unlock_irqrestore
     0.00%  sleep            [kernel.kallsyms]                        [k] mark_page_accessed
     0.00%  chrome           chrome                                   [.] 0x0000000003319dd4
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x000000000073b88d
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x000000000073b989
     0.00%  chrome           chrome                                   [.] _Znwm
     0.00%  chrome           libc-2.27.so                             [.] __strlen_avx2
     0.00%  stremio          libpthread-2.27.so                       [.] __pthread_mutex_lock
     0.00%  gnome-shell      libmozjs-52.so.0.0.0                     [.] 0x00000000004cac81
     0.00%  swapper          [kernel.kallsyms]                        [k] hrtimer_try_to_cancel
     0.00%  Chrome_IOThread  libc-2.27.so                             [.] malloc
     0.00%  swapper          [kernel.kallsyms]                        [k] irq_work_needs_cpu
     0.00%  stremio          libQt5Core.so.5.9.5                      [.] _ZN11QMetaObject8activateEP7QObjectiiPPv
