v8-version,7,0,276,38,-node.18,0
code-creation,Builtin,3,2847,0x3e63c3b284e0,138,ArrayFindIndexLoopEagerDeoptContinuation
code-creation,Builtin,3,2852,0x3e63c3b285c0,138,ArrayFindIndexLoopLazyDeoptContinuation
code-creation,Builtin,3,2858,0x3e63c3b286a0,301,ArrayFindIndexLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,2865,0x3e63c3b28820,4008,FlattenIntoArray
code-creation,Builtin,3,2871,0x3e63c3b29820,4048,FlatMapIntoArray
code-creation,Builtin,3,2876,0x3e63c3b2a840,15,ArrayBufferConstructor
code-creation,Builtin,3,2880,0x3e63c3b2a8a0,15,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,2886,0x3e63c3b2a900,15,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,2891,0x3e63c3b2a960,15,ArrayBufferIsView
code-creation,Builtin,3,2895,0x3e63c3b2a9c0,15,ArrayBufferPrototypeSlice
code-creation,Builtin,3,2904,0x3e63c3b2aa20,15,BigIntConstructor
code-creation,Builtin,3,2908,0x3e63c3b2aa80,15,BigIntAsUintN
code-creation,Builtin,3,2913,0x3e63c3b2aae0,15,BigIntAsIntN
code-creation,Builtin,3,2917,0x3e63c3b2ab40,15,BigIntPrototypeToLocaleString
code-creation,Builtin,3,2922,0x3e63c3b2aba0,15,BigIntPrototypeToString
code-creation,Builtin,3,2926,0x3e63c3b2ac00,15,BigIntPrototypeValueOf
code-creation,Builtin,3,2931,0x3e63c3b2ac60,15,BooleanConstructor
code-creation,Builtin,3,2935,0x3e63c3b2acc0,15,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,2941,0x3e63c3b2ad20,15,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,2946,0x3e63c3b2ad80,15,CallSitePrototypeGetFileName
code-creation,Builtin,3,2950,0x3e63c3b2ade0,15,CallSitePrototypeGetFunction
code-creation,Builtin,3,2955,0x3e63c3b2ae40,15,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,2960,0x3e63c3b2aea0,15,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,2965,0x3e63c3b2af00,15,CallSitePrototypeGetMethodName
code-creation,Builtin,3,2970,0x3e63c3b2af60,15,CallSitePrototypeGetPosition
code-creation,Builtin,3,2975,0x3e63c3b2afc0,15,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,2980,0x3e63c3b2b020,15,CallSitePrototypeGetThis
code-creation,Builtin,3,2985,0x3e63c3b2b080,15,CallSitePrototypeGetTypeName
code-creation,Builtin,3,2990,0x3e63c3b2b0e0,15,CallSitePrototypeIsConstructor
code-creation,Builtin,3,2995,0x3e63c3b2b140,15,CallSitePrototypeIsEval
code-creation,Builtin,3,3000,0x3e63c3b2b1a0,15,CallSitePrototypeIsNative
code-creation,Builtin,3,3004,0x3e63c3b2b200,15,CallSitePrototypeIsToplevel
